"title";"description";"priority";"due_date"
"Wyjaśnić zależność z API";"Sprawdzić dokumentację";"high";"2026-09-01"
"Zaplanować sprint";"";"medium";"2026-08-30"
"";"Brak tytułu - powinno zostać odrzucone";"medium";"2026-09-01"
"Zły priorytet";"";"invalid";"2026-09-01"
"Zła data";"";"low";"not-a-date"
"Przygotować raport";"Raport miesięczny dla zespołu";"high";"2026-09-05"
"Uzupełnić dokumentację";"Dodać brakujące przykłady";"low";""
"Sprawdzić testy";"Uruchomić pełny zestaw testów";"medium";"2026-09-03"
"Wdrożyć poprawki";"";"high";"2026-09-10"
"Zaktualizować README";"Dodać instrukcję uruchomienia";"low";"2026-09-02"
"Przygotować migrację";"Sprawdzić strukturę tabel";"medium";"2026-09-15"
"Naprawić endpoint";"Endpoint zwraca błędny status HTTP";"high";"2026-09-04"
"Przejrzeć logi";"";"low";"2026-09-06"
"Zorganizować spotkanie";"Omówić postęp prac; przygotować agendę";"medium";"2026-09-08"
"";"";"high";"2026-09-09"
"Test integracyjny";"Sprawdzić komunikację z API";"invalid";"2026-09-11"
"Przygotować release";"Lista zmian przed wdrożeniem";"high";"2026-09-20"
"Sprawdzić konfigurację";"";"medium";"2026-13-40"
"Usunąć nieużywany kod";"Posprzątać stare klasy";"low";"2026-09-12"
"Przygotować demo";"Demo dla klienta";"medium";"2026-09-18"
"Zaktualizować zależności";"Sprawdzić kompatybilność paczek";"high";"2026-09-07"
"Przetestować cache";"Sprawdzić wygasanie danych";"low";""
"Analiza błędu produkcyjnego";"Przeanalizować stack trace";"high";"2026-09-13"
"Poprawić walidację";"Dodać walidację pustych wartości";"medium";"2026-09-14"
"Zamknąć stare zadania";"Przejrzeć zadania bez aktywności";"low";"2026-09-16"
"Przygotować testy jednostkowe";"Dodać testy dla importera CSV";"medium";"2026-09-17"
"Sprawdzić uprawnienia";"Zweryfikować role użytkowników";"high";"2026-09-19"
"Zrobić refactoring";"Uprościć obsługę wyjątków";"invalid";"2026-09-21"
"Przygotować dokument techniczny";"Opis architektury rozwiązania";"medium";"2026-09-22"
"Sprawdzić backup";"";"low";"2026-09-23"
"Naprawić parser CSV";"Obsłużyć wartości zawierające średniki; oraz cudzysłowy ""CSV""";"high";"2026-09-24"
"Zadanie bez daty";"Brak daty jest dozwolony";"medium";""
"Niepoprawna data";"Data nie istnieje";"low";"2026-02-30"
"Brak priorytetu";"To zadanie powinno zostać odrzucone";"";"2026-09-25"
